,yanıt sayısı,yeniden gönderi sayısı,beğeni sayısı,yer işareti sayısı,görüntülenme sayısı,user_name,nick,date,Tweet
1045,9,96,383,2,5907,@Shawn_Farash,Shawn Farash,8s,"One party talks tough about ""women's rights"" and then allows THIS, and the other party means it. 

This display at the Olympics better wake people up."
1047,4,192,1263,3,13143,@GiorgosPap_96,GIORGOS PAP_96,8s,"Ο Απόστολος Χρήστου είναι ΑΣΗΜΕΝΙΟΣ Ολυμπιονίκης στα 200μ ύπτιο.

Μεγαλειώδης εμφάνιση.

Γράφτηκε ιστορία.

Τι έκανες ρε παλικάρι μας.

Τι έκανες 

#OlympicGames #Olympics"
1048,12,50,1146,8,37211,@Devin_Heroux,Devin Heroux,8s,"Summer McIntosh just shaved a second off her personal best time to win 200m butterfly gold in an Olympic record time.

And she’s a fighter.

These Chinese and American swimmers pushed Summer.

She said not today. Gold is mine."
1049,3,28,368,13,16989,@BenSteiner00,Ben Steiner,8s,"Summer McIntosh wins Canada's first-ever Olympic gold in the women's 200m fly. 

It was the event her mom Jill McIntosh (Horstead) swam in and finished 9th in at the LA 1984 Olympics. 

Full circle moment in Paris, with eyes to 2028's LA return."
1050,6,215,2906,81,74470,@jordynsleftbrow,SUNI LEE 2X OLYMPIC CHAMPION,8s,me in LA waiting for simone to come back
1051,5,65,634,4,21068,@BenceSudar,bence,8s,"HUBERT KÓS, OLYMPIC CHAMPION. "
1052,16,28,332,1,20293,@CBSNews,CBS News,8s,"Simone Biles wins gold, Suni Lee takes bronze in women's individual all-around gymnastics at 2024 Olympics."
1053,6,161,1732,19,26231,@Eurosport_IT,Eurosport IT,8s,"Sei stata pazzesca Alice!! 

Sfiorata l'impresa dall'azzurra, che arriva quarta nella finale all-around, prima Simone Biles 

#Paris2024 #Olympics #HomeOfTheOlympics #Olimpiadi #Parigi2024 #GinnasticaArtistica #DAmato"
1054,4,45,225,6,14587,@cheryllynneaton,Cheryl Lynn Eaton,8s,Using the Olympic stage that Italy provided to sell out the entire sport of boxing and launch an anti-intersex and transphobic grift campaign is shameful. She should apologize to her country and everyone involved.
1056,12,27,223,6,125382,@nytimes,The New York Times,8s,"From 
@TheAthletic
: Canada's Summer McIntosh joins French superstar Leon Marchand as the only swimmers to so far take multiple individual gold medals at the Paris Olympics. https://nyti.ms/46Cxg7y"
1057,12,186,1210,9,75103,@ussoccer,U.S. Soccer,8s,"For the first time since Sydney 2000, 
@TeamUSA
 is represented in the knockout rounds of the men’s and women’s tournaments of the Summer Olympics. 

#OlyMNT  
@USWNT"
1058,57,449,3766,46,159054,@mollyhannahm,Molly Morrison,8s,the olympics have been such an empowering and historic event for women and the misogynists and transphobes attempting to disguise as women’s sports advocates cannot and will not be able to take away from that. so proud of every single woman competing and i hope they feel as powerful as they are
1059,72,145,1503,16,92192,@MagicJohnson,Earvin Magic Johnson,8s,"Me, Cookie, and everyone on the yacht were cheering on the USA women gymnasts in today’s All-Around final! The GOAT of gymnastics has done it again! Congratulations to Simone Biles for an electrifying floor performance and adding another Olympic gold medal to her collection today’s All-Around final! 
@Simone_Biles"
1060,31,431,2167,10,32925,@CBCOlympics,CBC Olympics,8s,"SUMMER KEEPS SHINING 

Summer McIntosh wins gold in the women’s 200m butterfly, her second gold medal of #Paris2024 

#MedalMoments presented by 
@petrocanada"
1061,47,77,220,9,67808,@Olympics,The Olympic Games,8s,"It's #bronze for Japan! 

Coming in at third place in fencing women's team foil! 
@Japan_Olympic
 | 
@FIE_fencing
 | #Fencing
#Paris2024 | #Samsung | #TogetherforTomorrow"
1062,7,146,1102,17,22689,@WorldAquatics,World Aquatics,8s,Summer McIntosh Olympic Champion in the 200M butterfly with a stunning time of  2:03.03!  #Paris2024 #Swimming
1063,9,77,988,3,8558,@TennisCanada,Tennis Canada,8s," HISTORY IS MADE 

Félix's run continues at the #ParisOlympics2024 as he overcame the clay-court specialist Casper Ruud 

Felix is now the st Canadian in history to reach a semifinal in singles at the Olympics 

Next Opponent  Carlos Alcaraz "
1065,8,141,1254,15,29224,@mainichiphoto,毎日新聞写真部,8s,"#パリ五輪 
#フェンシング女子 フルーレ団体の3位決定戦
カナダに勝利し、同競技日本女子初めての銅メダルを獲得しました #Paris2024 #Olympics
写真は誇らしげな #上野優佳 #宮脇花綸 #菊池小巻 #東晟良 の各選手

写真特集更新中https://mainichi.jp/graphs/20240801/mpj/00m/050/341000f/20240802mpj00m050032000p…"
1066,88,85,248,3,672,@diode_chain,Diode,8s,"Check out Diode annihilating its opponents!

VPN gave up after just one punch! 

#olympics #UseDiode"
1067,8,188,1997,16,64347,@theScore,theScore,8s,"SUMMER MCINTOSH WINS ANOTHER GOLD MEDAL AT THE OLYMPIC GAMES. 

She wins the 200M Butterfly event in #Paris2024"
1068,35,227,2700,20,61432,@Devin_Heroux,Devin Heroux,8s,"GOLDEN SUMMER NIGHT IN PARIS

She’s unstoppable. 

Summer McIntosh just became the first Canadian woman to win two swimming gold medals. 

She told me just now this one was for mom who swam in this event at the 1984 Olympics."
1069,12,1560,16085,185,179413,@jordynsleftbrow,SUNI LEE 2X OLYMPIC CHAMPION,8s,Legends forever!!!! 
1070,12,1560,16088,185,179472,@jordynsleftbrow,SUNI LEE 2X OLYMPIC CHAMPION,8s,Legends forever!!!! 
1071,18,21,267,3,14871,@BlooperBraves,Blooper,8s,they need Olympic mascotting
1072,5,106,417,2,10011,@OlympicEsporte,Olympic Esporte,8s,"TOP 10 DO MUNDO 

FLÁVIA SARAIVA VC TA DE PARABÉNS 

FLAVIA SARAIVA VC TEM MEDALHA OLÍMPICA 

Olimpíadas #Olympics #OlympicGames #Paris2024 #ArtisticGymnastics"
1073,6,50,285,3,8672,@farzan_ali_b99,Farzan Ali Baloch,8s,The worst Olympics ever
1074,9,34,303,11,5513,@CelesteFinally,Celeste Irwin,8s,"Just a reminder/rant: literally every elite athlete has genetics that advantage them over others. They combine that with unbelievable dedication to achieve the incredible things we see at the Olympics. But ""a biological advantage is cheating"" was always a red herring.
+"
1075,106,407,1276,34,119740,@Olympics,The Olympic Games,8s,"A 6th GOLD FOR SIMONE BILES! 

Congratulations to Simone, who achieves first place in artistic gymnastics women's all-around 
@TeamUSA
 @gymnastics
 | #Artisticgymnastics
#Paris2024 | #Samsung | #TogetherforTomorrow"
1076,2,61,442,1,7641,@cathmckenna,Catherine McKenna,8s,"Woo hoo! It's the 
@summermcintoshh
 Olympics!!!"
1077,19,142,1049,132,36855,@Artedeingenio,OscarAI,8s,"Yusuf Dikeç, the shooter, the hitman, the fucking master. 

The best of the Olympic Games."
1078,9,14,435,6,83398,@arielhelwani,Ariel Helwani,8s,"Unbelievable.

17 years old.

Her second gold to go along with a silver and the relay is coming up, too.

By the time it’s all said and done she will very likely be the most decorated Canadian in Olympic history"
1080,6,254,1758,90,41104,@GithubProjects,GitHub Projects Community,8s,How the Olympics feel right now.
1081,47,280,2072,15,64692,@NBCOlympics,NBC Olympics & Paralympics,8s,Regan Smith takes SILVER in the women's 200m butterfly for her fifth Olympic medal!  #ParisOlympics
1082,28,211,2681,44,153906,@sbregman87,Scott Bregman,8s,"Noted apparatus specialist Suni Lee, the Tokyo 2020 Olympic all-around champion, won Olympic all-around bronze today at #Paris2024. She's one of only 12 women to win two Olympic all-around medals in gymnastics."
1083,5,42,242,6,47829,@Reuters,Reuters,8s,BREAKING: American Simone Biles won the women's all-around gymnastics gold medal at the #Paris2024 #Olympics https://reut.rs/3WKCGtQ
1084,12,110,410,11,43996,@ursHemanthRKO,Hemanth Kiara,8s,"1 August 2021: PV Sindhu defeated He Bing Jiao in Bronze Medal match in Tokyo Olympics.

1 August 2024: He Bing Jiao defeated PV Sindhu in Round of 16 match in Paris Olympics.

Difference is very clear 

Horrible day it is

THE RAMCHARAN EFFECT"
1085,38,102,740,28,377759,@NBCOlympics,NBC Olympics & Paralympics,8s,"17-year-old Summer McIntosh gets her SECOND GOLD MEDAL of the #ParisOlympics in the 200m fly! 

Regan Smith finishes close behind to earn silver.  |  NBC and Peacock"
1087,74,797,4228,97,152128,@TeamCanada,Team Canada,8s,"The Summer Olympics indeed

Summer McIntosh wins gold in the women's 200m fly, her second Olympic gold and third medal in Paris, setting an Olympic record of 2:03.03 

#TeamCanada | #Paris2024 | 
@RC_Sports"
1088,38,120,811,14,121229,@nytimes,The New York Times,8s,"Breaking News: Gymnast Simone Biles won the all-around title at the Olympics. She is the all-around champion for a second time, winning it three years after dropping out in Tokyo with a mental block. https://nyti.ms/3yykUk1"
1089,6,101,536,16,24931,@Variety,Variety,8s,"Simone Biles wins the women's artistic gymnastics all-around title, with teammate Sunisa Lee taking home the bronze.

Read more about Biles' return to the Olympics here: https://variety.com/2024/tv/news/simone-biles-gold-medal-paris-olympics-1236090136/…"
1090,253,441,11673,304,969049,@_MLFootball,MLFootball,8s,NO WAY! #Bears DB JONATHAN OWENS WIFE WON GOLD AT THE OLYMPICS!
1091,51,311,981,39,70085,@BadmintonTalk,Badminton Talk,8s,"Save the date!

Gregoria will face Ratchanok Intanon in the quarterfinal of #Paris2024 on Saturday, 3 August 2024, 1.30 PM WIB (UTC+7)!

#Badminton #Olympics"
1092,6,135,1705,20,34485,@flaviasrings,owen,8s,alice d’amato just set the record for highest placing italian in an olympic all around final and we should be talking about that!
1093,12,414,3078,55,48216,@beyoncepress,Beyoncé Press.,8s,"The two most complete gymnasts who brought Beyoncé to their performances, Simone Biles (Delresto)  and Rebeca Andrade (End Of Time) , are Gold and Silver medals at the #Olympics respectively."
1094,85,476,1743,26,92206,@Olympics,The Olympic Games,8s,"Celebrating #silver for Brazil! 

Rebeca Andrade takes second place in artistic gymnastics women's all-around 
@timebrasil
 | 
@gymnastics
 | #Artisticgymnastics | #Paris2024 | #Samsung | #TogetherforTomorrow"
1096,3,10,182,1,5422,@GingaBonitoHub,Ginga Bonito,8s,"SILVER!!!

Rebeca Andrade wins Brazil a silver medal in all-around gymnastics!

She is the FIRST female Brazilian athlete in history to win 4 Olympic medals!

HISTORY! "
1097,24,1030,10573,127,152727,@Pamchenkova,Pamchenkova,8s,"Can we just talk about the fact that all three Olympic All-Around medalists tonight are REPEAT Olympic All-Around medalists.

That is unprecedented in the modern era of women's gymnastics."
1098,39,65,1182,7,109889,@FriedgeHNIC,Elliotte Friedman,8s,"Second gold for Summer McIntosh -- this one in the 200 fly.

New Olympic Record, too"
1099,3,32,442,10,23553,@AuburnEinstein,Auburn Einstein,8s,"Suni Lee needs a 13.534 to medal in the 2024 Paris Olympics

Suni:"
1100,18,96,321,17,24458,@Paris2024,Paris 2024,8s,"Second gold medal at these Games for the Canadian prodigy with the Olympic record! 
-
Deuxième médaille d'or dans ces Jeux pour la prodige canadienne avec le record Olympique ! 

#Paris2024"
1101,5,55,595,2,8298,@CraigBaird,Craig Baird - Canadian History Ehx,8s,"Summer McIntosh has won gold in the Women's 200 Metre Butterfly!  And set an Olympic Record!
This is Canada's first-ever medal in this event!
Since this event was introduced at the 1968 Mexico City Olympics, our best finish was fifth (Wendy Quirk) in 1976

#Olympics #Paris2024"
1102,10,118,858,45,59033,@ImJustLaylay,Alaysha ‘Lay’ Johnson OLY,8s,"Lmfaoooooo at the Olympic village stressed about bills is NUTS  do you think they’ll take an “I’m competing for America rn, I OWE YOU” from all us unsponsored athletes "
1103,2,67,944,30,23414,@PCGreenfield,Patrick Greenfield,8s,"U-S-A! U-S-A! U-S-A!

Simone Biles and Suni Lee hold up the  flag after winning Gold and Bronze at the Olympics"
1104,34,31,361,8,7112,@DisaffectedPod,Disaffected,8s,"The utter gaslighting over this Olympic boxer. 

The cries from ordinary people to other ordinary people to ""just do some research--she's a woman!""

What ""research?"" Just who on God's green earth do you believe is telling the truth about any of this? 

Why are you motivated to defend this ""woman"" first, so much so that you bang at your alleged friends to ""stop and consider her"". 

Why don't you consider Angela Carini?

What the fuck is going on with some of you in your moral minds? You've lost it. 

There is nothing for a person of ordinary sanity to believe today except what he can see.

I believe what my eyes tell me, because I have no other source of truth to turn to."
1105,23,75,1019,9,29369,@AndiPetrillo,Andi Petrillo,8s,Summer McIntosh wins the 200m fly…the event her mother competed in. She loves this race because of her mom and now she’s an Olympic champion in it. I’m not crying you’re crying.
1106,11,75,238,37,18324,@BevJacksonAuth,Bev Jackson,8s,Many people posting about the boxing injustice at the Olympics were confused about the issue. It had nothing to do with transgender identity.  It was about males with DSDs (Disorders of Sexual Development). Here’s a great one-pager on DSDs and sport from Sex Matters.
1108,45,626,1542,17,67245,@BadmintonTalk,Badminton Talk,8s,"The burden of carrying the whole nation's expectations is on Gregoria's shoulders. And she proves that she is strong enough to carry on.

Majulah terus, Gregoria!

#Badminton #Paris2024 #Olympics"
1109,95,68,259,16,111010,@Anthrofuentes,Agustín Fuentes,8s,The ignorance of the actual range of human biology in the categories of male and female is certainly on display. Full support for those amazing athletes who make it to the Olympic level and shame on those ignorantly harassing them.
1110,41,32,368,10,10238,@kurtmetzger,Kurt Metzger,8s,What’s so blasphemous about Cirque De Sole teaming up w/Lane Bryant for a last supper themed cold open at the Olympics aka: the pagan eugenics festival designed by Greek perverts who literally did worship this exact horseshit? (Except for the fat part. That’s definitely blasphemous.)
1111,5,12,296,2,11492,@JasonGregor,Jason Gregor,8s,What a race. Sets an Olympic record and Summer wins her second gold and third medal of these Olympics.
1112,46,621,4694,33,109330,@TSN_Sports,TSN,8s,"GOLD FOR CANADA, SUMMER MCINTOSH WINS HER 3RD MEDAL OF PARIS 2024, SETTING AN OLYMPIC RECORD!  "
1113,20,18,234,4,21440,@chillin662,P. Against The World,8s,"*clicks to see why ""She did it"" is trending*

I know the Simone Biles haters don't like that she won another gold medal and gets to celebrate with her black husband 

#BlackLoveMatters #SimoneBiles #Olympics"
1114,5,43,207,1,2093,@DonLew87,Don Lewis,8s,"GOLDEN GIRLSimone Biles wins 2nd Olympic All-Around Gold Medal. What an incredible story of perseverance, dedication and otherwordly talent. AMAZING."
1115,150,989,8402,40,237529,@Devin_Heroux,Devin Heroux,8s,"GOLD FOR CANADA  

SHE DID IT

OLYMPIC RECORD

SUMMER MCINTOSH HAS DONE IT AGAIN

HER SECOND GOLD MEDAL

HER THIRD OLYMPIC MEDAL"
1116,150,989,8403,40,237560,@Devin_Heroux,Devin Heroux,8s,"GOLD FOR CANADA  

SHE DID IT

OLYMPIC RECORD

SUMMER MCINTOSH HAS DONE IT AGAIN

HER SECOND GOLD MEDAL

HER THIRD OLYMPIC MEDAL"
1117,57,219,1033,17,35053,@scrowder,Steven Crowder,8s,"This isn't about a culture war. This is about destroying the dreams of young women and the integrity of sports. 
@Olympics"
1118,2,9,756,1,29196,@httsp_lety,• Lety • olympic's version¹³,8s,Ela é tão básica e tem notas altíssimas por causa da bandeira
1119,115,342,2245,26,88143,@DailyLoud,Daily Loud,8s,"Simone Biles is the Olympic all-around champion!

She now has 6 Gold Medals, More than any American gymnast, male or female, in history "
1120,39,83,1745,32,92114,@hasanthehun,hasanabi,8s,MY WIREDMAG ARTICLE CAME OUT! PPL ARE BEING WEIRD ASF ABT OLYMPIC ATHLETES THEY SUSPECT OF BEING TRANS (THEYRE JUST BROLIC) TRUMP GETS OWNED BY BLACK JOURNALISTS AND RUNS AWAY! TENSIONS HIGH IN THE MIDDLE EAST AND MORE!!! GET IN NOW!!! http://TWITCH.TV/HASANABI
1121,13,13,278,11,30605,@BackupHangman,"Ibou, of WrestlePurists",8s,"People would rather spread misinformation instead of simply doing cursory research. The way these grifters and concern trolls are acting, you’d think Imane Khelif was just Mike Tysoning dainty women left and right.

She has NINE losses. She was in the last Olympics and didn’t win"
1122,4,21,501,3,6605,@melvincarter3,Melvin Carter,8s,"Congratulations 
@sunisalee_
 on adding bronze in the #Olympic All-Around to the Team Gold you’re already bringing home to 
@cityofsaintpaul
!"
1123,3,349,3478,35,41537,@amerailfinalee,♡ | olympics era,8s,io che passo da esperta di ginnastica artistica a esperta di scherma nel giro di 2 secondi #GiochiOlimpici
1125,2,27,337,4,6815,@MarkBerman_,Mark Berman,8s,"Wow! Congratulations 
@Simone_Biles
.

Simone is the first woman since 1968 to win the Olympics All-Around championship twice and just the third ever. Also the oldest to win it all since 1952. 

The superstar from Spring is one of America’s greatest athletes…..ever!"
1126,18,190,3296,32,66390,@ByJustinLee,Justin Lee,8s,"The most improbable comeback. 7th after 1 rotation, 5th after two rotations, T-4th after three.

Needed more on floor than she's scored all Olympics. And she did it

Suni did that."
1127,71,196,803,18,80582,@Olympics,The Olympic Games,8s,"#BRONZE!! 

Sunisa Lee takes third place for the USA in artistic gymnastics women's all-around 

This is her 5th Olympic medal!
@TeamUSA
 | 
@gymnastics
 | #Artisticgymnastics
#Paris2024 | #Samsung | #TogetherforTomorrow"
1128,4,371,6712,42,82712,@jordynsleftbrow,SUNI LEE 2X OLYMPIC CHAMPION,8s,She did it!!!! SIMONE OLYMPIC ALL AROUND CHAMPION x2 
1129,13,7,182,1,32895,@FrankLuntz,Frank Luntz,8s,"Simone Biles just won another gold, and American Suni Lee took bronze in the women's all-around final.

It's been a momentous #Olympics for Team USA."
1130,68,146,1129,11,284176,@BBCBreaking,BBC Breaking News,8s,"Simone Biles, USA gymnastics superstar, wins gold in all-around final at Paris Olympics

Follow live:"
1131,7,70,542,11,14723,@portalmedinabr,Portal Medina,8s,"“Bora galera! Hoje tem!”

#Olympics  #Surfing  

| People On Tour via instagram"
1132,43,41,292,29,44376,@J_Dorsey3,Josh Dorsey,8s,"Pat McAfee is the only true television host and/or journalist that will call out how pathetic this trans issue is 

A man beat up a woman in the Olympics, plain and simple"
1134,277,6559,65386,578,1213916,@TeamUSA,Team USA,8s,"2X OLYMPIC ALL-AROUND MEDALIST SUNI LEE

#ParisOlympics"
1135,8,233,1007,18,31923,@ReelTalker,Candice Frederick,8s,women's gymnastics medals all go to women of color. love that for them. love that for us #Olympics
1136,18,58,297,2,7387,@MegynKellyShow,The Megyn Kelly Show,8s,"""A woman is going to have to die for people to see reason and logic here...""
@MegynKelly
 and 
@charliekirk11
 call out injustice of female boxer brutalized at Olympics.

Watch below, and download:
https://podcasts.apple.com/us/podcast/the-megyn-kelly-show/id1532976305…"
1137,8,19,353,5,11768,@drnavani,Navani,8s,There appears to be considerable passive aggressiveness directed towards Chinese athletes at the Olympics. Not good for the sporting spirit.
1138,20,72,578,9,113949,@BBCSport,BBC Sport,8s,"Un-Bile-evable! 

#BBCOlympics #Olympics #Paris2024"
1139,3,27,189,1,8501,@usweekly,Us Weekly,8s,And THAT'S why we call her the GOAT!  Simone Biles has won gold in the Women's Artistic Gymnastics Individual All-Around. #Paris2024 #Olympics
1140,23,226,545,12,8347,@PMunozIturrieta,Pablo Munoz Iturrieta,8s,"El mensaje que 
@Olympics
 le ha dado a violadores y golpeadores de mujeres es que con autopercibirse mujer basta para seguir abusando impunemente a mujeres."
1141,24,189,1777,190,196191,@todayyearsoldig,Today Years Old,8s,"Nothing will ever top this Olympic moment. Goosebumps.

 https://x.com/theroyalserf/s/TheRoyalSerf/status/1819050766780277066/video/1…"
1142,3,72,458,8,18066,@ClutchPoints,ClutchPoints,8s,"Simone Biles is the first woman to win two Olympic All-Around Titles since Vera Caslavska in 1964 and 1968!

INCREDIBLE "
1143,64,215,740,14,40148,@GiveSendGo,GiveSendGo,8s,"#AngelaCarini  Italy pays their Olympic athletes $196,000 for a gold medal. While the IOC is the only organization that can truly right this wrong, I believe we can do our part. Every dollar contributed will go directly to Angela Carini. -  Lauren Boebert"
1145,3,43,218,4,38908,@TheAthletic,The Athletic,8s,"Simone Biles takes GOLD  in the women’s gymnastics all-around final in #Paris2024 

It’s the ninth Olympic medal of her career, the most of any American gymnast in the Games.

https://nytimes.com/athletic/5674700/2024/08/01/gymnastics-all-around-final-simone-biles-olympics-2024/?utm_medium=social&utm_campaign=twhq&source=twitterhq…"
1146,47,709,10585,339,598670,@jordynsleftbrow,SUNI LEE 2X OLYMPIC CHAMPION,8s,Simone said “Rebeca can have the next one” 
1147,58,282,2248,14,77617,@DefiantLs,Defiant L’s,8s,Trump responds after female Olympic boxer Angela Carini abandons match early.
1148,32,157,1504,8,175893,@SkySportsNews,Sky Sports News,8s,Simone Biles wins women's all-around for sixth Olympic gold medal 
1149,17,95,948,3,13740,@MissSassbox,"Sassington, M.C.",8s,imagine blocking somebody on social media and they just became the number one news story across the planet for winning gold at the #Olympics AGAIN
1150,5,16,420,17,18452,@DraftKings,DraftKings,8s,Simone Biles showing up for Gold every Olympics
1151,2,10,191,2,8672,@vaultscoring,i'm everywhere i'm so JULIA SOARES,8s,wait first entirely non-white olympic AA podium hm nice upside to this
1152,6,211,839,47,51053,@gymnastics,FIG,8s,"Women's All-Around Final at the #Paris2024 #Olympics: 

 Simone Biles  59.131
 Rebeca Andrade  57.932
 Sunisa Lee  56.465

Congratulations to Simone Biles, the new Olympic Women's All-Around champion in #ArtisticGymnastics!"
1153,7,40,267,6,4729,@thedesertginger,GingerSpice,8s,"Snoop Dogg having his own Olympic merch was not on my Bingo card. 
But I'm here for it!"
1155,130,2474,13802,163,1883908,@AP,The Associated Press,8s,"BREAKING: Simone Biles holds off Brazil's Rebeca Andrade for all-around gold. At 27, she's the oldest Olympic women's gymnastics champ since 1952."
1156,15,52,339,11,16353,@runews,Russian Market,8s,"51-year-old Turkish athlete and master sergeant of the Turkish army Yusuf Dayik commented on a photo of himself at the Olympic Games, where he shot with a pistol without special equipment and won a silver medal: ""I didn't need special equipment. I am a natural marksman."""
1157,70,40,329,23,85567,@livedoornews,ライブドアニュース,8s,"【パリ五輪速報】体操女子個人総合決勝


岸里奈は11位！
中村遥香は15位！


▼五輪ニュースはこちらから
https://news.livedoor.com/paris2024

#パリ2024 #Olympics
（写真：共同通信社）"
1158,22,7,258,2,12680,@Garywilliams1Up,Gary Williams,8s,".
@RichLernerGC
 is a bellweather broadcaster in golf but he’s showing his range hosting the LIVE broadcasts of Olympic gymnastics for a robust American TV audience. Pro’s pro."
1159,2,35,406,3,14446,@lynziekate,lynz,8s,AMERICAN OLYMPIC LEGENDS
1160,10,25,178,12,15643,@Chromaticano2,ᖶᕼᘿ ᑢᕼᖇᓍᘻᗩᖶᓰᑢᗩᘉᓍ feat. The Monkey Gang,8s,"UNPOPULAR OPINION:

Lady Gaga dressing as Marie Antoinette singing 'La vie en rose' in the Palace of Versailles next to a piano, would have been more visually pleasant, classy and iconic than what she actually did for the Olympics."
1161,10,11,244,2,25015,@emporer101k,Kbutler,8s,Wow!! Also the team spirit between the US Team members but also across other national teams is so so so inspiring … they congratulate and hug each other …..they recognize each others achievements…show us all how to bring the true Olympic spirit 
1162,9,53,182,9,13455,@MJTruthUltra,MJTruthUltra,8s,"I’m sick to my stomach from seeing that Olympic video this morning. 

Women need to be protected… 
Men need to speak out…

Those who are athletes need to unify and NOT participate."
1163,153,2850,19614,169,574448,@NBCOlympics,NBC Olympics & Paralympics,8s,"Suni Lee lands back on the podium! 

She takes BRONZE in the all-around final. #ParisOlympics

 NBC and Peacock"
1164,153,2850,19619,169,574618,@NBCOlympics,NBC Olympics & Paralympics,8s,"Suni Lee lands back on the podium! 

She takes BRONZE in the all-around final. #ParisOlympics

 NBC and Peacock"
1165,4,100,460,12,37415,@JeffDLowe,Jeff D. Lowe,8s,"The DYNASTY for #TeamUSA Gymnastics continues! 

Six consecutive #Gold Medals in the Women's All-Around over the last 20 years.

2004: C. Patterson
2008: N. Liukin
2012: G. Douglas
2016: S. Biles
2020: S. Lee
2024: S. Biles

What a run! #Paris2024 #Olympics"
1166,18,2654,23988,257,364687,@mccuskerights,jade,8s,"Simone Biles & Suni Lee made history! 

Simone Biles becomes the first US woman to win the Olympic AA gold medal twice and Suni join Simone as the only other US woman to medal in the Olympic AA twice "
1167,223,5366,44933,247,800075,@USAGym,USA Gymnastics,8s,"WHAT AN ENDING! 
@sunisalee_
 IS THE WOMEN'S OLYMPIC ALL-AROUND BRONZE MEDALIST!!!"
1168,11,50,276,1,54164,@washingtonpost,The Washington Post,8s,"Breaking news: Simone Biles reclaims gold in women’s gymnastics all-around. Her U.S. teammate Sunisa Lee wins bronze.

The win caps a years-long comeback after her Olympics were upended three years ago in Tokyo by a disorienting mental block."
1169,7,41,1471,11,15396,@SeanYoo,sean yoo,8s,laurie hernandez crying on the broadcast!!! you can’t beat that. she’s been so good this whole olympics and was not afraid to show her support to her friends. i loved it.
1170,72,1283,8276,224,264115,@roundoffblog,mar // round off,8s,SHE DID IT!!! OLYMPIC ALL AROUND GOLD 
1171,6,317,3162,39,59272,@thorpeheath,Heath Thorpe,8s,"A 15.066 on floor secured Simone Biles 6th Olympic Gold Medal. 

This woman has reigned supreme in the All Around winning every Olympic and World title she’s competed for since 2013. 

A story of longevity, resilience and strength that will be studied for generations."
1172,5,138,597,12,27525,@mitchgoldich,Mitch Goldich,8s,"Simone Biles:

 9 Olympic medals
 6 golds
 2x individual all-around champ

First American with multiple all-around golds 

First woman with multiple individual all-around golds in 56 years  #Paris2024"
1173,38,540,3256,138,270214,@BBCSport,BBC Sport,8s,#BBCOlympics #Olympics #Paris2024
1176,8,33,317,3,24488,@JornalOGlobo,Jornal O Globo,8s," É PRATA PARA A MENINA DE OURO!

Rebeca Andrade repete resultado dos Jogos de Tóquio na disputa individual geral da ginástica artística e se torna a primeira atleta brasileira a conquistar quatro medalhas em Olimpíadas!

#JornalOGlobo #Olympics #Paris2024"
1177,77,986,8759,72,156882,@NBCSports,NBC Sports,8s,"For the SECOND time, Simone Biles is an Olympic all-around gold medalist!  #ParisOlympics

 NBC and Peacock"
1178,478,14478,58949,605,2362151,@TeamUSA,Team USA,8s,"GOLD FOR THE GOAT 
@Simone_Biles
 is a 2x Olympic all-around champion!

#ParisOlympics"
1179,62,902,6410,41,142564,@kylegriffin1,Kyle Griffin,8s,"Breaking:

PARIS (AP) — Simone Biles holds off Brazil's Rebeca Andrade in all-around, becomes oldest Olympic women's gymnastics champ since 1952."
1180,3,302,3576,17,51179,@gymguyri,Riley,8s,"lack of talent, lazy, two-time Olympic All Around medalists. "
1181,86,389,2763,142,213566,@HenryTheBlasian,HTB,8s,"It took 5 mins of googling to find out she (Imane Khelif) was biologically born a woman. Her boxing record also isn’t even impressive, she’s 9-5 and lost at the last Olympics. Yall made me think she was running through ppl . It is also illegal to be Trans in Algeria. The timeline tried to convince me of some wild drama regarding the Olympics but it’s just a misinformation fire gone wild. She is not trans. She was BORN with elevated testosterone levels. https://x.com/loganpaul/stat/loganpaul/status/1819038518594994666…"
1182,2,31,355,2,4936,@justwsports,Just Women’s Sports,8s,"SIMONE BILES RE-TAKES THE THRONE.

YOUR 2024 OLYMPIC ALL-AROUND CHAMPION."
1183,3,184,1258,16,30005,@YahooSports,Yahoo Sports,8s,"SIMONE BILES WINS HER 9TH OLYMPIC MEDAL, CAPTURING GOLD IN THE WOMEN'S ALL-AROUND "
1185,5,281,2061,27,40732,@Gymnastics_Now,Gymnastics Now,8s,"THE GREATEST OF ALL TIME IS OLYMPIC CHAMPION ONCE MORE! 

#Paris2024 | #ArtisticGymnastics"
1186,2,47,279,6,6765,@BrowngaGreg,Greg,8s,"These two boxers, Khelif and Yu-ting, know they failed tests for eligibility to compete in the female category and did not appeal those tests (per the IBA statement). And yet they are knowingly competing in the female category in the Olympics. This is unethical."
1187,7,131,1018,8,52032,@seungminkim,Seung Min Kim,8s,"PARIS (AP) — Simone Biles holds off Brazil's Rebeca Andrade in all-around, becomes oldest Olympic women's gymnastics champ since 1952."
1188,98,1469,8854,71,357498,@BBCSport,BBC Sport,8s,"SIMONE BILES HAS WON HER SIXTH GOLD MEDAL 

She's won the women's all-around gymnastics title 

#Paris2024 #Olympics"
1189,1236,749,6857,256,563396,@FotosDeFatos,Fotos de Fatos,8s,"Fotografia que esta rodando o mundo.
Qual é a sua opinião?

#Olympics"
